Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
I7021_aln.sort	15649954.0	0.0	15649954.0	1.0	15649954.0	0.0	15649954.0	0.0	0.0	0.0	0.0	0.0	2462500.0	0.0	0.0	0.0	876955119.0	876955119.0	0.0	876955119.0	876954997.0	0.0	0.0	4942319.0	0.005635772	56.0	56.0	0.0	123.0	123.0	0.0	35.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	15.734870530609864	0.0
I7022_aln.sort	20105956.0	0.0	20105956.0	1.0	20105956.0	0.0	20105956.0	0.0	0.0	0.0	0.0	0.0	3537111.0	0.0	0.0	0.0	1080988636.0	1080988636.0	0.0	1080988636.0	1080988491.0	0.0	0.0	5742470.0	0.005312239	53.0	54.0	0.0	123.0	123.0	0.0	35.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	17.59235422578265	0.0
I7023_aln.sort	11921467.0	0.0	11921467.0	1.0	11921467.0	0.0	11921467.0	0.0	0.0	0.0	0.0	0.0	3482035.0	0.0	0.0	0.0	552804862.0	552804862.0	0.0	552804862.0	552804822.0	0.0	0.0	3512870.0	0.00635463	46.0	46.0	0.0	123.0	123.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	29.208108364515876	0.0
I7024_aln.sort	16733371.0	0.0	16733371.0	1.0	16733371.0	0.0	16733371.0	0.0	0.0	0.0	0.0	0.0	2819960.0	0.0	0.0	0.0	911944132.0	911944132.0	0.0	911944132.0	911944052.0	0.0	0.0	4925684.0	0.005401301	54.0	54.0	0.0	123.0	123.0	0.0	35.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	16.852312663120898	0.0
I7027_aln.sort	23471133.0	0.0	23471133.0	1.0	23471133.0	0.0	23471133.0	0.0	0.0	0.0	0.0	0.0	4735485.0	0.0	0.0	0.0	1245480622.0	1245480622.0	0.0	1245480622.0	1245480454.0	0.0	0.0	6420026.0	0.005154658	53.0	53.0	0.0	123.0	123.0	0.0	35.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	20.17578358914331	0.0
I7029_aln.sort	8999272.0	0.0	8999272.0	1.0	8999272.0	0.0	8999272.0	0.0	0.0	0.0	0.0	0.0	2799327.0	0.0	0.0	0.0	416182380.0	416182380.0	0.0	416182380.0	416182340.0	0.0	0.0	2281341.0	0.00548159	46.0	46.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	31.106149475201995	0.0
I7030_aln.sort	14234075.0	0.0	14234075.0	1.0	14234075.0	0.0	14234075.0	0.0	0.0	0.0	0.0	0.0	2456847.0	0.0	0.0	0.0	770426265.0	770426265.0	0.0	770426265.0	770426182.0	0.0	0.0	4571945.0	0.005934306	54.0	54.0	0.0	123.0	123.0	0.0	35.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	17.26032074441086	0.0
I7032_aln.sort	17181101.0	0.0	17181101.0	1.0	17181101.0	0.0	17181101.0	0.0	0.0	0.0	0.0	0.0	3107528.0	0.0	0.0	0.0	952802455.0	952802455.0	0.0	952802455.0	952802345.0	0.0	0.0	5349189.0	0.005614164	55.0	55.0	0.0	123.0	123.0	0.0	35.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	18.086896759410237	0.0
I7033_aln.sort	17790296.0	0.0	17790296.0	1.0	17790296.0	0.0	17790296.0	0.0	0.0	0.0	0.0	0.0	3067239.0	0.0	0.0	0.0	989436113.0	989436113.0	0.0	989436113.0	989436002.0	0.0	0.0	5492403.0	0.005551044	55.0	56.0	0.0	123.0	123.0	0.0	35.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	17.24107906917344	0.0
I7039_aln.sort	22755845.0	0.0	22755845.0	1.0	22755845.0	0.0	22755845.0	0.0	0.0	0.0	0.0	0.0	5076728.0	0.0	0.0	0.0	1137433182.0	1137433182.0	0.0	1137433182.0	1137433067.0	0.0	0.0	6781711.0	0.005962295	49.0	50.0	0.0	123.0	123.0	0.0	35.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	22.309556072297028	0.0
